New_Id,Sample_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
BRA056,BRA056,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA057,BRA057,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA058,BRA058,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA059,BRA059,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA060,BRA060,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA061,BRA061,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA062,BRA062,,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,,,
BRA063,BRA063,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA064,BRA064,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA065,BRA065,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA066,BRA066,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA067,BRA067,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA068,BRA068,,,,,,,,G1-240G+G8,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA069,BRA069,,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA070,BRA070,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA071,BRA071,,,aacA4crC_2neg,,,,,G1-240G,,,,,,,,,,,,,,,,
BRA072,BRA072,,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,,,
BRA074,BRA074,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA075,BRA075,,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA076,BRA076,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA077,BRA077,,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA078,BRA078,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA079,BRA079,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA080,BRA080,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA081,BRA081,,,,,,,,G8,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA082,BRA082,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA083,BRA083,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA084,BRA084,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA085,BRA085,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA086,BRA086,,,,,,,,G1-240G+G8,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA087,BRA087,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA088,BRA088,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA089,BRA089,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA090,BRA090,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA091,BRA091,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA092,BRA092,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA093,BRA093,,,,,,,,G8,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA094,BRA094,,,,,,,,G8,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA095,BRA095,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
BRA096,BRA096,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA097,BRA097,,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA098,BRA098,,,,,,,,G1-240G+G8,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA099,BRA099,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA100,BRA100,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA101,BRA101,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA102,BRA102,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA103,BRA103,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA104,BRA104,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA105,BRA105,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA106,BRA106,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA107,BRA107,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA108,BRA108,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA109,BRA109,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA110,BRA110,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA111,BRA111,negative,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA112,BRA112,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA113,BRA113,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA114,BRA114,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA115,BRA115,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA116,BRA116,aac(3)-IId,,aacA4notGEN_1neg,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA117,BRA117,,,,aadB,,,,G2,,,,,,,,,,,,,,,,
BRA118,BRA118,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA119,BRA119,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-ESBL-238S,,
BRA120,BRA120,,,,,,,,,,,,,,,,,,,,,,,,
BRA121,BRA121,aac(3)-IId,,aacA4notGEN_1neg,,,,,G2,,,,,,,,,,,,,,blaTEM_1neg,,
BRA122,BRA122,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA123,BRA123,negative,,,,,,,,,,,,,,,,,,,,,,,
BRA124,BRA124,aac(3)-IId,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-ESBL-238S,,
BRA125,BRA125,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA126,BRA126,,,,aadB,,,,G2,,,,,,,,,,,,,,,,
BRA127,BRA127,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA128,BRA128,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA129,BRA129,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA130,BRA130,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA131,BRA131,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA132,BRA132,aac(3)-IId+IIe,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA133,BRA133,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA134,BRA134,aac(3)-IId,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA135,BRA135,aac(3)-IId,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA136,BRA136,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA137,BRA137,aac(3)-IId,,aacA4crC,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA138,BRA138,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA139,BRA139,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-ESBL-238S,,
BRA140,BRA140,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA141,BRA141,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA142,BRA142,aac(3)-II_2MUT_3neg,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
BRA143,BRA143,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA144,BRA144,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA145,BRA145,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA146,BRA146,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA147,BRA147,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA148,BRA148,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA149,BRA149,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA150,BRA150,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA151,BRA151,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA152,BRA152,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA153,BRA153,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA154,BRA154,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA155,BRA155,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA156,BRA156,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA157,BRA157,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA158,BRA158,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA159,BRA159,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA160,BRA160,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA161,BRA161,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA162,BRA162,aac(3)-IId,,,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA163,BRA163,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA164,BRA164,aac(3)-IId,,,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA165,BRA165,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA166,BRA166,,,,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA167,BRA167,aac(3)-IIe,,,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA168,BRA168,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA169,BRA169,negative,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
BRA170,BRA170,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA172,BRA172,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA173,BRA173,,,,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA174,BRA174,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA175,BRA175,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA176,BRA176,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA177,BRA177,,,aacA4GEN±AMK_2neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA178,BRA178,,,aacA4GEN±AMK_2neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA179,BRA179,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA180,BRA180,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA181,BRA181,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA182,BRA182,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA183,BRA183,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA184,BRA184,aac(3)-IId+IIe,,,,,,,G9-240D+G2,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA185,BRA185,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA186,BRA186,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
BRA187,BRA187,aac(3)-IIe,,,,,,,G1-240G+G9-240D_3neg,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM_1neg,,
BRA188,BRA188,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA189,BRA189,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA190,BRA190,aac(3)-IId,,,,,,,G1-240G+G9-240D,,,,,blaKPC,,,blaOXA-30-like,,rmtB,,,,blaTEM-1-like,,
BRA191,BRA191,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA192,BRA192,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA193,BRA193,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA194,BRA194,,,aacA4GEN±AMK_2neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA195,BRA195,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA196,BRA196,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA197,BRA197,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA198,BRA198,,,,,,,,G2,,,,,,,,,,,,,,blaTEM_2neg,,
BRA199,BRA199,aac(3)-IIe,,,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA200,BRA200,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA201,BRA201,,,,,,,,,,,,,,,,,,,,,,,,
BRA202,BRA202,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA203,BRA203,,,,,,,,,,,,,,,,,,,,,,,,
BRA204,BRA204,,,,,,,,,,,,,,,,,,,,,,,,
BRA205,BRA205,aac(3)-IId+IIe,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA206,BRA206,,,,,,,,,,,,,,,,,,,,,,,,
BRA207,BRA207,,,aacA4GEN±AMK_2neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA208,BRA208,,,,,,,,,,,,,,,,,,,,,,,,
BRA209,BRA209,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA210,BRA210,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,blaIMP-4-like,,,,,,,,,,blaTEM_1neg,,
BRA211,BRA211,,,,,,,,,,,,,,,,,,,,,,,,
BRA212,BRA212,,,,,,,,,,,,,,,,,,,,,,,,
BRA213,BRA213,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA214,BRA214,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA215,BRA215,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA216,BRA216,,,,,,,,,,,,,,,,,,,,,,,,
BRA217,BRA217,,,,,,,,,,,,,,,,,,,,,,,,
BRA218,BRA218,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
BRA219,BRA219,,,,,,,,,,,,,,,,,,,,,,,,
BRA220,BRA220,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA221,BRA221,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA222,BRA222,,,,,,,,,,,,,,,,,,,,,,,,
BRA223,BRA223,,,,,,,,,,,,,,,,,,,,,,,,
BRA224,BRA224,,,,,,,,,,,,,,,,,,,,,,,,
BRA225,BRA225,,,,,,,,,,,,,,,,,,,,,,,,
BRA226,BRA226,,,,,,,,,,,,,,,,,,,,,,,,
BRA227,BRA227,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA228,BRA228,,,,,,,,,,,,,,,,,,,,,,blaTEM_2MUTmix,,
BRA229,BRA229,,,,,,,,,,,,,,,,,,,,,,,,
BRA230,BRA230,,,,,,,,,,,,,,,,,,,,,,,,
BRA231,BRA231,,,,,,,,,,,,,,,,,,,,,,,,
BRA232,BRA232,,,,,,,,,,,,,,,,,,,,,,,,
BRA233,BRA233,,,,,,,,,,,,,,,,,,,,,,,,
BRA234,BRA234,,,,,,,,,,,,,,,,,,,,,,,,
BRA235,BRA235,,,,,,,,,,,,,,,,,,,,,,,,
BRA236,BRA236,,,,,,,,,,,,,,,,,,,,,,,,
BRA237,BRA237,,,,,,,,G2,,,,,,,,,,,,,,,,
BRA238,BRA238,,,,,,,,,,,,,,,,,,,,,,,,
BRA239,BRA239,,,,,,,,,,,,,,,,,,,,,,,,
BRA240,BRA240,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA241,BRA241,,,,,,,,,,,,,,,,,,,,,,,,
BRA242,BRA242,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA243,BRA243,,,,,,,,,,,,,,,,,,,,,,,,
BRA244,BRA244,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA245,BRA245,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA246,BRA246,,,,,,,,,,,,,,,,,,,,,,,,
BRA247,BRA247,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA248,BRA248,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA249,BRA249,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA250,BRA250,,,,,,,,,,,,,,,,,,,,,,,,
BRA251,BRA251,,,,,,,,,,,,,,,,,,,,,,,,
BRA252,BRA252,,,,,,,,,,,,,,,,,,,,,,,,
BRA253,BRA253,,,,,,,,,,,,,,,,,,,,,,,,
BRA254,BRA254,,,,,,,,,,,,,,,,,,,,,,,,
BRA255,BRA255,,,,,,,,,,,,,,,,,,,,,,,,
BRA256,BRA256,,,,,,,,,,,,,,,,,,,,,,,,
BRA257,BRA257,,,,,,,,,,,,,,,,,,,,,,,,
BRA258,BRA258,,,,,,,,,,,,,,,,,,,,,,,,
BRA259,BRA259,,,,,,,,,,,,,,,,,,,,,,,,
BRA260,BRA260,,,,,,,,,,,,,,,,,,,,,,,,
BRA261,BRA261,,,,,,,,,,,,,,,,,,,,,,,,
BRA262,BRA262,,,,,,,,,,,,,,,,,,,,,,,,
BRA263,BRA263,,,,,,,,,,,,,,,,,,,,,,,,
BRA264,BRA264,,,,,,,,,,,,,,,,,,,,,,,,
BRA265,BRA265,,,,,,,,,,,,,,,,,,,,,,,,
BRA266,BRA266,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA267,BRA267,,,,,,,,,,,,,,,,,,,,,,,,
BRA268,BRA268,,,,,,,,,,,,,,,,,,,,,,,,
BRA269,BRA269,,,,,,,,,,,,,,,,,,,,,,,,
