Sample_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
BRA038,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA039,NA,NA,NA,NA,NA,NA,NA,G9-240D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA040,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA041,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA042,NA,NA,NA,NA,NA,NA,blaCMY-2-like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA043,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA044,NA,NA,NA,NA,NA,NA,blaCMY-2-like,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM_1neg,NA,NA
BRA045,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA046,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA047,aac(3)-IId+IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA048,negative,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA049,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA050,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA052,NA,NA,NA,NA,NA,NA,NA,G1-240G_5G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA053,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA054,negative,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM_2neg,NA,NA
BRA055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA056,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA059,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,G9-240D,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,rmtB,NA,NA,NA,blaTEM-1-like,NA,NA
BRA060,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA062,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA063,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA065,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA066,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA067,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA068,NA,NA,NA,NA,NA,NA,NA,G1-240G+G8,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA070,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA071,NA,NA,aacA4crC_2neg,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA072,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA076,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA078,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA080,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA081,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA082,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA084,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA085,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA086,NA,NA,NA,NA,NA,NA,NA,G1-240G+G8,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA087,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA089,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA090,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA093,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA094,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA095,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA096,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA097,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA098,NA,NA,NA,NA,NA,NA,NA,G1-240G+G8,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA099,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G2,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA101,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA102,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA103,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA104,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA105,aac(3)-IIe,NA,aacA4GEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA106,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA107,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA108,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA109,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA110,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA111,negative,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA112,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA113,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA114,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA115,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA116,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA117,NA,NA,NA,aadB,NA,NA,NA,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA118,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA119,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-ESBL-238S,NA,NA
BRA120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA121,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM_1neg,NA,NA
BRA122,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA123,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA124,aac(3)-IId,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-ESBL-238S,NA,NA
BRA125,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA126,NA,NA,NA,aadB,NA,NA,NA,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA127,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA128,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA129,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA130,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA131,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA132,aac(3)-IId+IIe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA133,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA134,aac(3)-IId,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA135,aac(3)-IId,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA136,aac(3)-IId+IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA137,aac(3)-IId,NA,aacA4crC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA138,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA139,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-ESBL-238S,NA,NA
BRA140,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA141,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA142,aac(3)-II_2MUT_3neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM_2neg,NA,NA
BRA143,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA144,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA145,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA146,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA147,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA148,aac(3)-IIe,NA,aacA4GEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA149,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA150,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA151,aac(3)-IIe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
