Sample Id,Site,Species,3GCR,GENR,Old_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
BRA015,Brazil,E. coli,R,S,BRA015,,,,,,,,G1-240G+G8,,,,,,,,,,,,,,,,
BRA016,Brazil,E. coli,R,R,BRA016,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA017,Brazil,E. coli,R,R,BRA017,,,,,,,,G2,,,,,,,,,,,,,,,,
BRA018,Brazil,E. coli,R,S,BRA018,,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA019,Brazil,E. coli,R,R,BRA019,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA020,Brazil,E. coli,R,S,BRA020,,,,aadB,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA021,Brazil,E. coli,R,S,BRA021,,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA022,Brazil,E. coli,R,S,BRA022,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA023,Brazil,E. coli,R,S,BRA023,,,,,,,,G9-240G,,,,,,,,,,,,,,,,
BRA024,Brazil,E. coli,R,S,BRA024,,,,,,,,G8,,,,,,,,,,,,,,,,
BRA025,Brazil,E. coli,R,S,BRA025,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA026,Brazil,E. coli,R,S,BRA026,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA027,Brazil,E. coli,R,S,BRA027,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
BRA028,Brazil,E. coli,R,S,BRA028,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA029,Brazil,E. coli,R,S,BRA029,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA030,Brazil,E. coli,R,R,BRA030,aac(3)-IId,,aacA4notGEN_1neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA031,Brazil,E. coli,R,S,BRA031,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA032,Brazil,E. coli,R,R,BRA032,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA033,Brazil,E. coli,R,S,BRA033,,,,,,,,G9-240G,,,,,,,,,,,,,,blaTEM-1-like,,
BRA034,Brazil,E. coli,R,R,BRA034,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA035,Brazil,E. coli,R,R,BRA035,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,,,,,,rmtB,,,,blaTEM-1-like,,
BRA036,Brazil,E. coli,R,R,BRA036,aac(3)-IId,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA037,Brazil,E. coli,R,S,BRA037,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA038,Brazil,E. coli,R,S,BRA038,,,,,,,,G8,,,,,,,,,,,,,,,,
BRA039,Brazil,E. coli,R,S,BRA039,,,,,,,,G9-240D,,,,,,,,,,,,,,,,
BRA040,Brazil,E. coli,R,S,BRA040,,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA041,Brazil,E. coli,R,R,BRA041,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA042,Brazil,E. coli,R,S,BRA042,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA043,Brazil,E. coli,R,R,BRA043,aac(3)-IId,,aacA4notGEN_1neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA044,Brazil,E. coli,R,S,BRA044,,,,,,,blaCMY-2-like,,,,,,blaKPC,,,,,,,,,blaTEM_1neg,,
BRA045,Brazil,E. coli,R,R,BRA045,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA046,Brazil,E. coli,R,R,BRA046,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA047,Brazil,E. coli,R,R,BRA047,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA048,Brazil,E. coli,R,S,BRA048,negative,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
BRA049,Brazil,E. coli,R,R,BRA049,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
BRA050,Brazil,E. coli,R,R,BRA050,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA052,Brazil,K. pneumoniae,R,S,BRA052,,,,,,,,G1-240G_5G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA053,Brazil,K. pneumoniae,R,S,BRA053,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA054,Brazil,K. pneumoniae,R,S,BRA054,negative,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM_2neg,,
BRA055,Brazil,K. pneumoniae,R,S,BRA055,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA056,Brazil,K. pneumoniae,R,S,BRA056,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA057,Brazil,K. pneumoniae,R,S,BRA057,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA058,Brazil,K. pneumoniae,R,S,BRA058,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA059,Brazil,K. pneumoniae,R,R,BRA059,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA060,Brazil,K. pneumoniae,R,S,BRA060,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA061,Brazil,K. pneumoniae,R,S,BRA061,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA062,Brazil,K. pneumoniae,R,S,BRA062,,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,,,
BRA063,Brazil,K. pneumoniae,R,S,BRA063,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA064,Brazil,K. pneumoniae,R,S,BRA064,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA065,Brazil,K. pneumoniae,R,S,BRA065,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA066,Brazil,K. pneumoniae,R,S,BRA066,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA067,Brazil,K. pneumoniae,R,S,BRA067,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA068,Brazil,K. pneumoniae,R,S,BRA068,,,,,,,,G1-240G+G8,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA069,Brazil,K. pneumoniae,R,S,BRA069,,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA070,Brazil,K. pneumoniae,R,S,BRA070,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA071,Brazil,K. pneumoniae,R,S,BRA071,,,aacA4crC_2neg,,,,,G1-240G,,,,,,,,,,,,,,,,
BRA072,Brazil,K. pneumoniae,R,S,BRA072,,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,,,
BRA074,Brazil,K. pneumoniae,R,S,BRA074,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA075,Brazil,K. pneumoniae,R,S,BRA075,,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA076,Brazil,K. pneumoniae,R,S,BRA076,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA077,Brazil,K. pneumoniae,R,S,BRA077,,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA078,Brazil,K. pneumoniae,R,S,BRA078,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA079,Brazil,K. pneumoniae,R,S,BRA079,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA080,Brazil,K. pneumoniae,R,S,BRA080,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA081,Brazil,K. pneumoniae,R,S,BRA081,,,,,,,,G8,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA082,Brazil,K. pneumoniae,R,S,BRA082,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA083,Brazil,K. pneumoniae,R,S,BRA083,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA084,Brazil,K. pneumoniae,R,S,BRA084,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA085,Brazil,K. pneumoniae,R,S,BRA085,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA086,Brazil,K. pneumoniae,R,S,BRA086,,,,,,,,G1-240G+G8,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA087,Brazil,K. pneumoniae,R,S,BRA087,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA088,Brazil,K. pneumoniae,R,S,BRA088,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA089,Brazil,K. pneumoniae,R,S,BRA089,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA090,Brazil,K. pneumoniae,R,S,BRA090,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA091,Brazil,K. pneumoniae,R,S,BRA091,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA092,Brazil,K. pneumoniae,R,S,BRA092,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA093,Brazil,K. pneumoniae,R,S,BRA093,,,,,,,,G8,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA094,Brazil,K. pneumoniae,R,S,BRA094,,,,,,,,G8,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA095,Brazil,K. pneumoniae,R,S,BRA095,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
BRA096,Brazil,K. pneumoniae,R,S,BRA096,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA097,Brazil,K. pneumoniae,R,S,BRA097,,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA098,Brazil,K. pneumoniae,R,S,BRA098,,,,,,,,G1-240G+G8,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA099,Brazil,K. pneumoniae,R,R,BRA099,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA100,Brazil,K. pneumoniae,R,S,BRA100,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
BRA101,Brazil,E. coli,S,R,BRA101,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA102,Brazil,E. coli,S,R,BRA102,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA103,Brazil,E. coli,S,R,BRA103,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA104,Brazil,E. coli,S,R,BRA104,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA105,Brazil,E. coli,S,R,BRA105,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA106,Brazil,E. coli,S,R,BRA106,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA107,Brazil,E. coli,S,R,BRA107,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA108,Brazil,E. coli,S,R,BRA108,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA109,Brazil,E. coli,S,R,BRA109,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA110,Brazil,E. coli,S,R,BRA110,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA111,Brazil,E. coli,R,R,BRA111,negative,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA112,Brazil,E. coli,R,R,BRA112,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA113,Brazil,E. coli,S,R,BRA113,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA114,Brazil,E. coli,S,R,BRA114,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA115,Brazil,E. coli,S,R,BRA115,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA116,Brazil,E. coli,R,R,BRA116,aac(3)-IId,,aacA4notGEN_1neg,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA117,Brazil,E. coli,R,R,BRA117,,,,aadB,,,,G2,,,,,,,,,,,,,,,,
BRA118,Brazil,E. coli,R,R,BRA118,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA119,Brazil,E. coli,S,R,BRA119,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-ESBL-238S,,
BRA120,Brazil,E. coli,S,R,BRA120,,,,,,,,,,,,,,,,,,,,,,,,
BRA121,Brazil,E. coli,R,R,BRA121,aac(3)-IId,,aacA4notGEN_1neg,,,,,G2,,,,,,,,,,,,,,blaTEM_1neg,,
BRA122,Brazil,E. coli,S,R,BRA122,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA123,Brazil,E. coli,S,R,BRA123,negative,,,,,,,,,,,,,,,,,,,,,,,
BRA124,Brazil,E. coli,R,R,BRA124,aac(3)-IId,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-ESBL-238S,,
BRA125,Brazil,E. coli,S,R,BRA125,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA126,Brazil,E. coli,R,R,BRA126,,,,aadB,,,,G2,,,,,,,,,,,,,,,,
BRA127,Brazil,E. coli,S,R,BRA127,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA128,Brazil,E. coli,S,R,BRA128,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA129,Brazil,E. coli,S,R,BRA129,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA130,Brazil,E. coli,S,R,BRA130,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA131,Brazil,E. coli,S,R,BRA131,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA132,Brazil,E. coli,S,R,BRA132,aac(3)-IId+IIe,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA133,Brazil,E. coli,S,R,BRA133,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA134,Brazil,E. coli,S,R,BRA134,aac(3)-IId,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA135,Brazil,E. coli,S,R,BRA135,aac(3)-IId,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA136,Brazil,E. coli,R,R,BRA136,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA137,Brazil,E. coli,S,R,BRA137,aac(3)-IId,,aacA4crC,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA138,Brazil,E. coli,S,R,BRA138,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA139,Brazil,E. coli,S,R,BRA139,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-ESBL-238S,,
BRA140,Brazil,E. coli,S,R,BRA140,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA141,Brazil,E. coli,S,R,BRA141,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA142,Brazil,E. coli,S,R,BRA142,aac(3)-II_2MUT_3neg,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
BRA143,Brazil,E. coli,S,R,BRA143,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA144,Brazil,E. coli,S,R,BRA144,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA145,Brazil,E. coli,R,R,BRA145,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA146,Brazil,E. coli,S,R,BRA146,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA147,Brazil,E. coli,S,R,BRA147,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA148,Brazil,E. coli,S,R,BRA148,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA149,Brazil,E. coli,S,R,BRA149,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA150,Brazil,E. coli,S,R,BRA150,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA151,Brazil,K. pneumoniae,R,R,BRA151,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA152,Brazil,K. pneumoniae,R,R,BRA152,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA153,Brazil,K. pneumoniae,R,R,BRA153,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA154,Brazil,K. pneumoniae,R,R,BRA154,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA155,Brazil,K. pneumoniae,R,R,BRA155,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA156,Brazil,K. pneumoniae,R,R,BRA156,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA157,Brazil,K. pneumoniae,R,R,BRA157,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA158,Brazil,K. pneumoniae,R,R,BRA158,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA159,Brazil,K. pneumoniae,R,R,BRA159,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA160,Brazil,K. pneumoniae,R,R,BRA160,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA161,Brazil,K. pneumoniae,R,R,BRA161,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA162,Brazil,K. pneumoniae,R,R,BRA162,aac(3)-IId,,,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA163,Brazil,K. pneumoniae,R,R,BRA163,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA164,Brazil,K. pneumoniae,R,R,BRA164,aac(3)-IId,,,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA165,Brazil,K. pneumoniae,R,R,BRA165,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA166,Brazil,K. pneumoniae,R,R,BRA166,,,,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA167,Brazil,K. pneumoniae,R,R,BRA167,aac(3)-IIe,,,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA168,Brazil,K. pneumoniae,R,R,BRA168,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA169,Brazil,K. pneumoniae,R,R,BRA169,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
BRA170,Brazil,K. pneumoniae,R,R,BRA170,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA172,Brazil,K. pneumoniae,R,R,BRA172,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA173,Brazil,K. pneumoniae,R,R,BRA173,,,,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA174,Brazil,K. pneumoniae,R,R,BRA174,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA175,Brazil,K. pneumoniae,R,R,BRA175,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA176,Brazil,K. pneumoniae,R,R,BRA176,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA177,Brazil,K. pneumoniae,R,R,BRA177,,,aacA4GEN±AMK_2neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA178,Brazil,K. pneumoniae,R,R,BRA178,,,aacA4GEN±AMK_2neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA179,Brazil,K. pneumoniae,R,R,BRA179,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA180,Brazil,K. pneumoniae,R,R,BRA180,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA181,Brazil,K. pneumoniae,R,R,BRA181,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA182,Brazil,K. pneumoniae,R,R,BRA182,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA183,Brazil,K. pneumoniae,R,R,BRA183,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA184,Brazil,K. pneumoniae,R,R,BRA184,,,,,,,,G9-240D+G2,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA185,Brazil,K. pneumoniae,R,R,BRA185,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA186,Brazil,K. pneumoniae,R,R,BRA186,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
BRA187,Brazil,K. pneumoniae,R,R,BRA187,aac(3)-IIe,,,,,,,G1-240G+G9-240D_3neg,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM_1neg,,
BRA188,Brazil,K. pneumoniae,R,R,BRA188,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA189,Brazil,K. pneumoniae,R,R,BRA189,aac(3)-IIe,,,,,,,G2,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA190,Brazil,K. pneumoniae,R,R,BRA190,aac(3)-II_3neg,,,,,,,G1-240G+G9-240D,,,,,blaKPC,,,blaOXA-30-like,,rmtB,,,,blaTEM-1-like,,
BRA191,Brazil,K. pneumoniae,R,R,BRA191,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA192,Brazil,K. pneumoniae,R,R,BRA192,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,blaKPC,,,,,rmtB,,,,blaTEM-1-like,,
BRA193,Brazil,K. pneumoniae,R,R,BRA193,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
