Sample Id,Site,Species,3GCR,GENR,CTXM,SHV,TEM,KPC,IMP,NDM,VIM,CMY2,DHA,OXA10,OXA30,OXA48,VEB,GES,ACTMIR,aac(3)II,aacA4,aac6Ib/II,aadB,armA,rmtB,rmtC,rmtF,
BRA042,Brazil,E. coli,R,S,,,TEM-1-like,,,,,CMY-2-like,,,,,,,,,,,,,,,,
BRA043,Brazil,E. coli,R,R,CTX-M-8-like,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA044,Brazil,E. coli,R,S,,SHV-1-like,TEM-1-like,KPC,,,,CMY-2-like,,,,,,,,,,,,,,,,
BRA045,Brazil,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA046,Brazil,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId + aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA047,Brazil,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId + aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA048,Brazil,E. coli,R,S,CTX-M-15-like,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA049,Brazil,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA050,Brazil,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA052,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 (Amk) and aacA4 cr (C),,,,,,,
BRA053,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA054,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
BRA055,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA056,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA057,Brazil,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
BRA058,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA059,Brazil,K. pneumoniae,R,R,CTX-M-9-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IId,,,,,rmtB,,,
BRA060,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA061,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA062,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA063,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA064,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA065,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA066,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA067,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA068,Brazil,K. pneumoniae,R,S,CTX-M-15-like + CTX-M-8-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA069,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA070,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA071,Brazil,K. pneumoniae,R,S,CTX-M-15-like,,,,,,,,,,,,,,,,aacA4 cr (C),,,,,,,
BRA072,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA074,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA075,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA076,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA077,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA078,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA079,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA080,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA081,Brazil,K. pneumoniae,R,S,CTX-M-8-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
BRA082,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA083,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA084,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA085,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA086,Brazil,K. pneumoniae,R,S,CTX-M-15-like + CTX-M-8-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA087,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA088,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA089,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA090,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA091,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA092,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA093,Brazil,K. pneumoniae,R,S,CTX-M-8-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
BRA094,Brazil,K. pneumoniae,R,S,CTX-M-8-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
BRA095,Brazil,K. pneumoniae,R,S,CTX-M-15-like,,,,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
BRA096,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA097,Brazil,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 cr (C),,,,,,,
BRA098,Brazil,K. pneumoniae,R,S,CTX-M-15-like + CTX-M-8-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA099,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
BRA100,Brazil,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,,,,,,,,
BRA101,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA102,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA103,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId + aac(3)-IIe,,,,,,,,
BRA104,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,,,,,,,,
BRA105,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
BRA106,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA107,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA108,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA109,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA110,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA111,Brazil,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA112,Brazil,E. coli,R,R,,SHV (238),TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA113,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA114,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA115,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA116,Brazil,E. coli,R,R,CTX-M-2-like,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA117,Brazil,E. coli,R,R,CTX-M-2-like,,,,,,,,,,,,,,,,,,aadB,,,,,
BRA118,Brazil,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA119,Brazil,E. coli,S,R,,,,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA120,Brazil,E. coli,S,R,,,,,,,,,,,,,,,,,,,,,,,,
BRA121,Brazil,E. coli,R,R,CTX-M-2-like,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA122,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA123,Brazil,E. coli,S,R,,,,,,,,,,,,,,,,,,,,,,,,
BRA124,Brazil,E. coli,R,R,CTX-M-15-like,SHV (238),TEM (238),,,,,,,,,,,,,aac(3)-IId,aacA4 cr (C),,,,,,,
BRA125,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA126,Brazil,E. coli,R,R,CTX-M-2-like,,,,,,,,,,,,,,,,,,aadB,,,,,
BRA127,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA128,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA129,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA130,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA131,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA132,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId + aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA133,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA134,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,aacA4 cr (C),,,,,,,
BRA135,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId,aacA4 cr (C),,,,,,,
BRA136,Brazil,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId + aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA137,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,aacA4 cr (C),,,,,,,
BRA138,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA139,Brazil,E. coli,S,R,,,,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA140,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA141,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA142,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-II,,,,,,,,
BRA143,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA144,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA145,Brazil,E. coli,R,R,CTX-M-15-like,,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA146,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA147,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA148,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
BRA149,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA150,Brazil,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA151,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA152,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA153,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA154,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA155,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 (Amk) and aacA4 cr (C),,,,,,,
BRA156,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA157,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA158,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA159,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA160,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA161,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA162,Brazil,K. pneumoniae,R,R,CTX-M-9-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IId,aacA4 (Amk),,,,rmtB,,,
BRA163,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA164,Brazil,K. pneumoniae,R,R,CTX-M-9-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IId,,,,,rmtB,,,
BRA165,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA166,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,,,,,,,,,,,,,,aacA4 (Gen),,,,,,,
BRA167,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA168,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA169,Brazil,K. pneumoniae,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA170,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA172,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA173,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,,,,,,,,,,,,,,aacA4 (Gen),,,,,,,
BRA174,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like + SHV-5/12-like,TEM-1-like,,,,,,,,OXA-30,,,,,,aacA4 (Gen) and aacA4 cr (C),,,,,,,
BRA175,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA176,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA177,Brazil,K. pneumoniae,R,R,CTX-M-8-like,SHV-1-like,TEM-1-like,,,,,,,,,,,,,,non-cr aacA4,,,,,,,
BRA178,Brazil,K. pneumoniae,R,R,CTX-M-8-like,SHV-1-like,TEM-1-like,,,,,,,,,,,,,,non-cr aacA4,,,,,,,
BRA179,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA180,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA181,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA182,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA183,Brazil,K. pneumoniae,R,R,CTX-M-9-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IId,,,,,rmtB,,,
BRA184,Brazil,K. pneumoniae,R,R,CTX-M-9 and CTX-M-2,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IId + aac(3)-IIe,aacA4 (Amk),,,,rmtB,,,
BRA185,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA186,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA187,Brazil,K. pneumoniae,R,R,CTX-M-15-like + CTX-M-9-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA188,Brazil,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA189,Brazil,K. pneumoniae,R,R,CTX-M-2-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA190,Brazil,K. pneumoniae,R,R,CTX-M-15-like + CTX-M-9-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,aac(3)-IId,aacA4 cr (C),,,,rmtB,,,
BRA191,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
BRA192,Brazil,K. pneumoniae,R,R,CTX-M-9-like,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IId,,,,,rmtB,,,
BRA193,Brazil,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA194,Brazil,K. pneumoniae,R,R,CTX-M-8-like,,TEM-1-like,,,,,,,,,,,,,,non-cr aacA4,,,,,,,
